SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,FG2M,FG2A,FG2_PTS,FG3_PTS,FRAC_ATT_2PT,FRAC_ATT_3PT,FRAC_MK_2PT,FRAC_MK_3PT,FRAC_PTS_2PT,FRAC_PTS_3PT,FRAC_PTS_FT,OPP_TEAM_ABBR,OPP_PTS,MONTH,YEAR,HOME_AWAY,CONFERENCE,OPP_CONFERENCE,DATE_MATCHUP
22025,1610612745,HOU,Houston Rockets,0022500001,2025-10-21,HOU @ OKC,L,290,43,97,0.443,11,39,0.282,27,31,0.871,16,36,52,23,6,5,25,26,124,-1,1,32,58,64,33,0.5979381443298969,0.4020618556701031,0.7441860465116279,0.2558139534883721,0.5161290322580645,0.2661290322580645,0.21774193548387097,OKC,125,10,2025,AWAY,WEST,WEST,10-21 @ OKC
22025,1610612744,GSW,Golden State Warriors,0022500002,2025-10-21,GSW @ LAL,W,240,38,78,0.487,17,40,0.425,26,29,0.897,9,31,40,29,10,4,19,27,119,10,1,21,38,42,51,0.48717948717948717,0.5128205128205128,0.5526315789473685,0.4473684210526316,0.35294117647058826,0.42857142857142855,0.2184873949579832,LAL,109,10,2025,AWAY,WEST,WEST,10-21 @ LAL
22025,1610612747,LAL,Los Angeles Lakers,0022500002,2025-10-21,LAL vs. GSW,L,240,42,77,0.545,8,32,0.25,17,28,0.607,7,32,39,23,7,2,20,21,109,-10,1,34,45,68,24,0.5844155844155844,0.4155844155844156,0.8095238095238095,0.19047619047619047,0.6238532110091743,0.22018348623853212,0.1559633027522936,GSW,119,10,2025,HOME,WEST,WEST,10-21 vs. GSW
22025,1610612760,OKC,Oklahoma City Thunder,0022500001,2025-10-21,OKC vs. HOU,W,290,46,104,0.442,13,52,0.25,20,25,0.8,11,27,38,29,12,4,12,27,125,1,1,33,52,66,39,0.5,0.5,0.717391304347826,0.2826086956521739,0.528,0.312,0.16,HOU,124,10,2025,HOME,WEST,WEST,10-21 vs. HOU
22025,1610612737,ATL,Atlanta Hawks,0022500082,2025-10-22,ATL vs. TOR,L,240,38,90,0.422,10,35,0.286,32,37,0.865,8,26,34,25,7,6,16,24,118,-20,1,28,55,56,30,0.6111111111111112,0.3888888888888889,0.7368421052631579,0.2631578947368421,0.4745762711864407,0.2542372881355932,0.2711864406779661,TOR,138,10,2025,HOME,EAST,EAST,10-22 vs. TOR
22025,1610612748,MIA,Miami Heat,0022500081,2025-10-22,MIA @ ORL,L,240,44,91,0.484,12,35,0.343,21,27,0.778,10,37,47,26,9,4,19,28,121,-4,1,32,56,64,36,0.6153846153846154,0.38461538461538464,0.7272727272727273,0.2727272727272727,0.5289256198347108,0.2975206611570248,0.17355371900826447,ORL,125,10,2025,AWAY,EAST,EAST,10-22 @ ORL
22025,1610612751,BKN,Brooklyn Nets,0022500080,2025-10-22,BKN @ CHA,L,240,39,88,0.443,14,40,0.35,25,34,0.735,12,26,38,25,8,3,17,28,117,-19,1,25,48,50,42,0.5454545454545454,0.45454545454545453,0.6410256410256411,0.358974358974359,0.42735042735042733,0.358974358974359,0.21367521367521367,CHA,136,10,2025,AWAY,EAST,EAST,10-22 @ CHA
22025,1610612752,NYK,New York Knicks,0022500003,2025-10-22,NYK vs. CLE,W,240,37,86,0.43,14,40,0.35,31,36,0.861,9,39,48,22,8,4,14,23,119,8,1,23,46,46,42,0.5348837209302325,0.46511627906976744,0.6216216216216216,0.3783783783783784,0.3865546218487395,0.35294117647058826,0.2605042016806723,CLE,111,10,2025,HOME,EAST,EAST,10-22 vs. CLE
22025,1610612766,CHA,Charlotte Hornets,0022500080,2025-10-22,CHA vs. BKN,W,240,48,90,0.533,17,36,0.472,23,33,0.697,14,36,50,33,5,5,17,25,136,19,1,31,54,62,51,0.6,0.4,0.6458333333333334,0.3541666666666667,0.45588235294117646,0.375,0.16911764705882354,BKN,117,10,2025,HOME,EAST,EAST,10-22 vs. BKN
22025,1610612764,WAS,Washington Wizards,0022500086,2025-10-22,WAS @ MIL,L,240,46,98,0.469,17,42,0.405,11,19,0.579,13,43,56,23,5,4,13,19,120,-13,1,29,56,58,51,0.5714285714285714,0.42857142857142855,0.6304347826086957,0.3695652173913043,0.48333333333333334,0.425,0.09166666666666666,MIL,133,10,2025,AWAY,EAST,EAST,10-22 @ MIL
